Country Code,Change,Description of Change,Date Issued,Source
AO,"Change spelling of AO-CNO, AO-CUS, and AO-CCU; update List Source.",,2014-10-29,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:AO.
AO,Correct spelling of AO-CNO and AO-CUS.,,2014-12-18,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:AO.
AO,Spelling correction in AO-ZAI.,,2002-05-21,Newsletter I-2 - https://web.archive.org/web/20081218103157/http://www.iso.org/iso/iso_3166-2_newsletter_i-2_en.pdf.
AO,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:AO.
AO,"Change of spelling of AO-CCU, AO-CNO, AO-CUS, AO-LNO, AO-LSU; Addition of local variation for AO-CCU, AO-CNO, AO-CUS; Update List Source.",,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:AO.
AO,Correct spelling of AO-CCU.,,2015-02-12,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:AO.
AQ,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard).,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:AQ.
AR,Typographical correction of a name and update of the list and code sources.,,2010-06-30,Newsletter II-2 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-2_2010-06-30.pdf.
AS,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard. Included also as a subdivision of the United States (US-AS)).,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:AS.
AT,Change of subdivision category from federal Länder to state; update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:AT.
AT,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:AT.
AU,Update List Source; update Code Source.,,2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:AU.
AU,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:AU.
AU,Codes: New South Wales: AU-NS -> AU-NSW. Queensland: AU-QL -> AU-QLD. Tasmania: AU-TS -> AU-TAS. Victoria: AU-VI -> AU-VIC. Australian Capital Territory: AU-CT -> AU-ACT.,Change of subdivision code in accordance with Australian Standard AS 4212-1994.,2004-03-08,Newsletter I-6 - https://web.archive.org/web/20081218103224/http://www.iso.org/iso/iso_3166-2_newsletter_i-6_en.pdf.
AW,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard. Included also as subdivision of Netherlands (NL-AW)).,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:AW.
AW,Addition of the alpha 3 administrative language code pap.,,2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:AW.
AW,Addition of code to align ISO 3166-1 and ISO 3166-2.,,2011-12-13 (corrected 2011-12-15),Newsletter II-3 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
AX,Correct administrative languages.,,2011-06-12,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:AX.
AX,Correct administrative languages.,,2011-07-14,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:AX.
AX,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard).,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:AX.
AZ,Deletion of the romanization system; update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:AZ.
AZ,Subdivisions added: AZ-KAN Kǝngǝrli. AZ-NV Naxçıvan (municipality). Subdivisions deleted: AZ-SS Şuşa. Codes: AZ-AB Əli Bayramlı -> AZ-SR Şirvan. AZ-DAV Dəvəçi -> AZ-SBN Şabran. AZ-XAN Xanlar -> AZ-GYG Göygöl.,"Alphabetical re-ordering, name change of administrative places, first level prefix addition and source list update.",2011-12-13 (corrected 2011-12-15),Newsletter II-3 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
AZ,Codes: Naxçıvan: AZ-MM -> AZ-NX.,Correction of one code and four spelling errors. Notification of the rayons belonging to the autonomous republic.,2002-05-21,Newsletter I-2 - https://web.archive.org/web/20081218103157/http://www.iso.org/iso/iso_3166-2_newsletter_i-2_en.pdf.
BA,Correction of the romanization system label.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BA.
BA,Correction of the romanization system label.,,2018-11-22,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:BA.
