Country Code,Change,Description of Change,Date Issued,Source
RE,Delete the French scattered Indian Ocean Islands.,,2007-09-21,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:RE.
RO,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:RO.
RO,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:RO.
RO,Subdivisions added: RO-IF Ilfov.,Addition of one department. Subdivision categories in header re-sorted.,2002-12-10,Newsletter I-4 - https://web.archive.org/web/20081218103210/http://www.iso.org/iso/iso_3166-2_newsletter_i-4_en.pdf.
RO,Correction of spelling mistake of subdivision category in header.,,2000-06-21,Newsletter I-1 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_i-1_en.pdf.
RS,"Subdivisions added: 1 city, 2 autonomous republics, 29 districts.",Addition of a new country (in accordance with ISO 3166-1 Newsletter V-12).,2007-04-17,Newsletter I-8 - https://web.archive.org/web/20120330105926/http://www.iso.org/iso/iso_3166-2_newsletter_i-8_en.pdf.
RS,"Addition of the country code prefix as the first code element, administrative update.",,2010-02-03 (corrected 2010-02-19),Newsletter II-1 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-1_corrected_2010-02-19.pdf.
RS,Correction of the romanization system label.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:RS.
RS,"Addition of an asterisk to RS-KM, RS-VO; Correction of the Code Source.",,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:RS.
RS,Alignment of the French short name lower case with UNTERM.,,2014-12-18,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:RS.
RU,"Correction of language from 'urd' to 'rus' for RU-PSK, RU-ROS, RU-PRI.",,2021-11-25,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:RU.
RU,Correction of the romanization system label.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:RU.
RU,Subdivisions added: RU-ZAB Zabaykal'skiy kray. Subdivisions deleted: RU-CHI Chitinskaya oblast'. RU-AGB Aginskiy Buryatskiy avtonomnyy okrug. RU-UOB Ust'-Ordynskiy Buryatskiy avtonomnyy okrug.,Update of the administrative structure and of the list source.,2010-06-30,Newsletter II-2 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-2_2010-06-30.pdf.
RU,Subdivisions added: RU-KAM Kamchatskiy kray. Subdivisions deleted: RU-KAM Kamchatskaya oblast'. RU-EVE Evenkiyskiy avtonomnyy okrug. RU-KOR Koryakskiy avtonomnyy okrug. RU-TAY Taymyrskiy avtonomnyy okrug.,"Update and use of long forms of country names as given in Draft NL I-8 538, 22-02-2007 and formation of Permskiy kray after amalgamation.",2007-11-28,Newsletter I-9 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/newsletter_i-9.pdf.
RU,Subdivisions added: RU-PER Permskiy kray. Subdivisions deleted: RU-PER Permskaya oblast'. RU-KOP Komi-Permyatskiy avtonomnyy okrug.,Modification of the administrative structure.,2007-04-17,Newsletter I-8 - https://web.archive.org/web/20120330105926/http://www.iso.org/iso/iso_3166-2_newsletter_i-8_en.pdf.
RU,Add local language name to the title Khanty-Mansiyskiy avtonomnyy okrug. Update of list source.,,2005-09-13,Newsletter I-7 - https://web.archive.org/web/20081218103217/http://www.iso.org/iso/iso_3166-2_newsletter_i-7_en.pdf.
RU,Introduction of alternative name forms for 2 republics. Correction of a spelling mistake in the name of 1 autonomous district.,,2000-06-21,Newsletter I-1 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_i-1_en.pdf.
RW,"Subdivision layout: 12 prefectures -> 1 town council, 4 provinces.",Modification of the administrative structure.,2007-04-17,Newsletter I-8 - https://web.archive.org/web/20120330105926/http://www.iso.org/iso/iso_3166-2_newsletter_i-8_en.pdf.
RW,Change of subdivision category from town council to city; change of spelling of category name in kin.,,2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:RW.
RW,"Change of spelling of RW-01, RW-02, RW-03, RW-04, RW-05; addition of category name in kin; update List Source.",,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:RW.
SA,Alphabetical re-ordering.,,2011-12-13 (corrected 2011-12-15),Newsletter II-3 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
SA,Change of subdivision category from province to region.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SA.
SA,"Change subdivision names of SA-02, SA-03 and SA-09; update List Source.",,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SA.
SB,Modification of the French short name lower case.,,2019-02-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SB.
SB,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SB.
SB,Alignment of the English short name lower case with UNTERM.,,2014-12-18,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SB.
SB,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SB.
SB,Subdivisions added: SB-CH Choiseul. SB-RB Rennell and Bellona.,Modification of the administrative structure.,2007-04-17,Newsletter I-8 - https://web.archive.org/web/20120330105926/http://www.iso.org/iso/iso_3166-2_newsletter_i-8_en.pdf.
SC,Subdivisions added: SC-24 Les Mamelles. SC-25 Roche Caiman.,Update of the administrative structure and languages and update of the list source.,2010-06-30,Newsletter II-2 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-2_2010-06-30.pdf.
SC,Subdivisions added: SC-26 Ile Perseverance I. SC-27 Ile Perseverance II.,"Addition of district SC-26, SC-27; Update List Source.",2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SC.
SC,Correct the local language code for the local short name.,,2013-02-06,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SC.
SC,Subdivisions added: 23 districts.,Addition of the administrative subdivisions and of their code elements.,2007-04-17,Newsletter I-8 - https://web.archive.org/web/20120330105926/http://www.iso.org/iso/iso_3166-2_newsletter_i-8_en.pdf.
SD,Subdivisions deleted: SD-10 Gharb Kurdufān.,Modification of administrative structure.,2007-11-28,Newsletter I-9 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/newsletter_i-9.pdf.
SD,Correct numeric code after split.,,2011-08-09,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SD.
SD,Subdivision layout: 25 states -> 17 states. Subdivisions deleted: 10 states (SD-14 – SD-23) seceded to create South Sudan (SS). Subdivisions added: SD-DE Sharq Dārfūr. SD-DC Zalingei.,Administrative adjustment and update.,2011-12-13 (corrected 2011-12-15),Newsletter II-3 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
SD,"Subdivision added: SD-GK Gharb Kurdufān (ar), West Kordofan (en). Spelling changes: SD-DC Zalingei -> Wasaţ Dārfūr Zālinjay. SD-DN ? -> Shamāl Dārfūr. SD-KN Shamāl Kurdufān -> Shiamāl Kurdufān. SD-NO ? -> Ash Shamālīyah. SD-NR An Nīl -> Nahr an Nīl.","Additions of state SD-GK; change spelling of SD-NR, SD-NO, SD-DN, SD-KN, SD-DC; update List Source.",2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SD.
SD,Correction of the romanization system label.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SD.
SD,Spelling changes: SD-DC Wasaţ Dārfūr Zālinjay -> Wasaţ Dārfūr. SD-KN Shiamāl Kurdufān -> Shamāl Kurdufān.,"Typographical correction of subdivision name of SD-KN, SD-DC; Addition of local variation of SD-DC.",2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SD.
SE,"Name precision of the administrative division, Alphabetical re-ordering and source list update.",,2011-12-13 (corrected 2011-12-15),Newsletter II-3 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
SG,Subdivisions added: 5 districts.,Addition of administrative divisions and their codes.,2007-11-28,Newsletter I-9 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/newsletter_i-9.pdf.
SH,Subdivisions added: 3 geographical entities.,Administrative subdivisions addition.,2011-12-13 (corrected 2011-12-15),Newsletter II-3 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
SH,Consistency between ISO 3166-1 and ISO 3166-2 for change of name (in accordance with ISO 3166-1 Newsletter VI-7).,,2010-06-30,Newsletter II-2 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-2_2010-06-30.pdf.
SH,Change of name; Addition of islands given in Clauses 9 and 10.,,2010-02-22,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SH.
SI,Subdivision layout: 12 statistical regions -> 193 municipalities.,Replacement of statistical regions with 193 municipalities.,2002-12-10,Newsletter I-4 - https://web.archive.org/web/20081218103210/http://www.iso.org/iso/iso_3166-2_newsletter_i-4_en.pdf.
SI,Addition of official language names for some municipalities.,,2005-09-13,Newsletter I-7 - https://web.archive.org/web/20081218103217/http://www.iso.org/iso/iso_3166-2_newsletter_i-7_en.pdf.
SI,Subdivisions added: SI-195 Apače. SI-196 Cirkulane. SI-207 Gorje. SI-197 Kostanjevica na Krki. SI-208 Log-Dragomer. SI-198 Makole. SI-199 Mokronog-Trebelno. SI-200 Poljčane. SI-209 Rečica ob Savinji. SI-201 Renče-Vogrsko. SI-202 Središče ob Dravi. SI-203 Straža. SI-204 Sveta Trojica v Slovenskih goricah. SI-210 Sveti Jurij v Slovenskih goricah. SI-205 Sveti Tomaž. SI-211 Šentrupert. SI-206 Šmarješke Toplice.,Update of the administrative structure and languages and update of the list source,2010-06-30,Newsletter II-2 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-2_2010-06-30.pdf.
SI,Add 1 commune SI-212; update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SI.
SI,"Correction of spelling for SI-065, SI-116, SI-169, SI-182, SI-204, SI-210; Deletion of asterisk from SI-212; Update List Source.",,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SI.
SI,Addition of remark part 2. (Remark part 2: The Italian and Hungarian languages are locally official in those municipalities where Italian or Hungarian national communities reside. For these municipalities the Hungarian or Italian subdivision name is provided under ‘local variation’).,,2021-11-25,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SI.
SI,"Change of spelling of SI-044, SI-197; Addition of category urban municipality; Change of category name from municipality to urban municipality for SI-011, SI-050, SI-052, SI-054, SI-061, SI-070, SI-080, SI-084, SI-085, SI-096, SI-112, SI-133; Update List Source.",,2022-11-29,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SI.
SI,Change of subdivision category from commune to municipality; addition of municipality SI-213.,,2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SI.
SJ,"Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard. Included also as a subdivision of Norway (NO-21, NO-22)).",,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SJ.
SL,Correction of the Code Source.,,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SL.
SL,Addition of an asterisk to SL-NW; Update Code Source.,,2019-11-22,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SL.
SL,Addition of province SL-NW; Update List Source.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SL.
SM,Subdivisions renamed: SM-07 San Marino -> Città di San Marino.,Change of spelling of SM-07; Addition of local variation for SM-07; Update List Source.,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SM.
SM,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SM.
SM,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SM.
SM,Subdivisions added: 9 municipalities.,Addition of the administrative subdivisions and of their code elements.,2007-04-17,Newsletter I-8 - https://web.archive.org/web/20120330105926/http://www.iso.org/iso/iso_3166-2_newsletter_i-8_en.pdf.
SN,Subdivisions added: SN-KA Kaffrine. SN-KE Kédougou. SN-SE Sédhiou.,Update of the administrative structure and languages and update of the list source.,2010-06-30,Newsletter II-2 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-2_2010-06-30.pdf.
SN,Subdivisions added: SN-MT Matam.,Addition of one new region. List source updated.,2003-09-05,Newsletter I-5 - https://web.archive.org/web/20081218103244/http://www.iso.org/iso/iso_3166-2_newsletter_i-5_en.pdf.
SO,UN notification of full name.,,2013-07-11,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SO.
SO,Add 'the' before the English full name.,,2014-03-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SO.
SR,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SR.
SR,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SR.
SS,Typographical correction of SS-BW (deletion of the extra space between el and Ghazal).,,2021-11-25,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SS.
SS,Deletion of the space after the short English name lower case.,,2014-12-18,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SS.
SS,Subdivisions added: 10 states.,Addition of code and its administrative subdivisions to align ISO 3166-1 and ISO 3166-2.,2011-12-13 (corrected 2011-12-15),Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SS.
SS,Assign code elements.,,2011-08-09,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SS.
ST,"Deletion of province ST-S; Change of subdivision category from province to autonomous region for ST-P; Addition of district ST-01, ST-02, ST-03, ST-04, ST-05, ST-06; Update List Source.",,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:ST.
SV,Alignment of the French short name lower case with UNTERM; update of the remarks in French.,,2014-12-18,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SV.
SX,Addition of code to align ISO 3166-1 and ISO 3166-2.,,2011-12-13 (corrected 2011-12-15),Newsletter II-3 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
SX,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard. Included also as subdivision of Netherlands (NL-SX)).,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SX.
SX,"Correction of the OBP entry error as follows: deletion of “Saint-Martin, partie sud de” in the French name field for Territory.",,2015-02-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SX.
SX,Correct spelling error in the French remarks.,,2013-02-06,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SX.
SX,Add new entry.,,2010-12-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SX.
SY,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SY.
SY,Alignment of the English short name lower case with UNTERM.,,2014-12-18,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SY.
SY,Modification of the English short name lower case.,,2019-02-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SY.
SY,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SY.
SZ,Change of subdivision category from district to region; Update List Source.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SZ.
SZ,"Change of the short name, full name and local short name in eng.",,2018-07-16,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:SZ.
TC,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard).,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:TC.
TC,Correction of the OBP entry error as follows: addition of “Caicos Islands” to the English name field for Territory and “Îles Caicos” to the French name fields for Territory.,,2015-02-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:TC.
TD,Subdivisions added: TD-BG Bahr el Gazel. TD-BO Borkou. TD-EN Ennedi. TD-SI Sila. TD-TI Tibesti. Subdivisions deleted: TD-BET Borkou-Ennedi-Tibesti.,Update of the administrative structure and languages and update of the list source.,2010-06-30,Newsletter II-2 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-2_2010-06-30.pdf.
TD,Spelling changes: TD-BA Al Baţḩah (ar) -> Al Baţḩā’. TD-LO Lūqūn al Gharbī (ar) -> Lūghūn al Gharbī. TD-LR Lūqūn ash Sharqī (ar) -> Lūghūn ash Sharqī. TD-TA Tānjilī (ar) -> Tānjīlī. TD-WF Wādī Fīrā (ar) -> Wādī Fīrā’.,"Change of subdivision category region to province; Modification of spelling for TD-BA, TD-LO, TD-LR, TD-TA, TD-WF in ara; Addition of local variation for TD-BG in fra; Addition of subdivision name of TD-EE, TD-EO in ara; Update List Source.",2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:TD.
TD,"Subdivisions added: TD-EE Ennedi-Est (fr). TD-EO Ennedi-Ouest (fr). Subdivision deleted: TD-EN Innīdī (ar), Ennedi (fr). Spelling change: TD-BA Al Baṭḩah (ar) -> Al Baţḩah.",Add two regions TD-EE and TD-EO; correct spelling of TD-BA; delete TD-EN; update List Source.,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:TD.
TD,Subdivision layout: 14 prefectures -> 18 regions.,Modification of the administrative structure.,2007-04-17,Newsletter I-8 - https://web.archive.org/web/20120330105926/http://www.iso.org/iso/iso_3166-2_newsletter_i-8_en.pdf.
TF,Add the French scattered Indian Ocean Islands.,,2007-09-21,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:TF.
TF,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard. Included also as subdivision of France (FR-TF)).,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:TF.
TG,Change of spelling of TG-C; update list source.,,2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:TG.
TG,Change of spelling of TG-S; update List Source.,,2017-11-23,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:TG.
TH,Correction of the romanization system label.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:TH.
TJ,Correction of the Code Source.,,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:TJ.
TJ,Correction of the romanization system label.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:TJ.
TJ,Spelling change: TJ-RA Nohiyahoi Tobei Jumhurí -> nohiyahoi tobei jumhurí.,"Change of subdivision name of TJ-RA; change of spelling of category name in eng, tgk; update List Source; modification of the English remark part 2. (Remark part 2: Remark: The deletion of the region Karategin left one part of the country without name and without code in this part of ISO 3166. This section of the country is designated districts under republic administration (tgk: nohiyahoi tobei jumhurí) and comprises 13 districts (tgk: nohiya) which are administered directly by the central government at first-order level).",2017-11-23,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:TJ.
TJ,Subdivision added: TJ-RA Nohiyahoi Tobei Jumhurí.,"Modification of the remark part 2; addition of category name Districts Under Republic Administration in eng, fra, tgk; addition of Districts Under Republic Administration TJ-RA; update list source. (Remark part 2: Remark: The deletion of the region Karategin left one part of the country without name and without code in this part of ISO 3166. This section of the country is designated districts under republic administration (tgk: nohiyahoi tobei jumhurí) and comprises 13 districts (tgk: nohiya) which are administered directly by the central government at first-order level).",2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:TJ.
TJ,Removed the reference to Dushanbe in remark part 2; correct spelling of DU. (Remark part 2: Remark: The deletion of the region Karategin left one part of the country without name and without code in this part of ISO 3166. This section of the country is designated districts under republic administration (tgk: nohiyahoi tobei jumhurí) and comprises 13 districts (tgk: nohiya) which are administered directly by the central government at first-order level).,,2015-02-12,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:TJ.
TJ,Subdivision added: TJ-DU.,Add 1 capital territory TJ-DU.,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:TJ.
TJ,Subdivision deleted: TJ-KR Karategin. Codes: TJ-LN Leninabad -> TJ-SU Sughd.,Change of name of one region. Deletion of one region. Introduction of one Tajik name form. Subdivision categories in header re-sorted.,2002-12-10,Newsletter I-4 - https://web.archive.org/web/20081218103210/http://www.iso.org/iso/iso_3166-2_newsletter_i-4_en.pdf.
TK,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard).,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:TK.
TK,Addition of the alpha 3 administrative language code tkl.,,2016-07-25,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:TK.
TL,Subdivisions added: 13 districts.,Change of the ISO 3166-1 alpha-2 code element to TL. Insertion of 13 districts. In accordance with ISO 3166-1 Newsletter V-5.,2002-08-20,Newsletter I-3 - https://web.archive.org/web/20081218103236/http://www.iso.org/iso/iso_3166-2_newsletter_i-3_en.pdf.
TL,Change of country name in accordance with ISO 3166-1 Newsletter V-6 (East Timor renamed Timor-Leste in English and French). Spelling correction in TL-LI.,,2002-12-10,Newsletter I-4 - https://web.archive.org/web/20081218103210/http://www.iso.org/iso/iso_3166-2_newsletter_i-4_en.pdf.
TL,Change of subdivision category name from district to municipality; Addition of category name in tet; Change of category name from district to special administrative region for TL-OE; Change of spelling in por of TL-OE; Change of spelling of TL-LA; Addition of local variation of TL-OE; Update List Source.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:TL.
TL,Spelling change. TL-DI Dili -> Díli.,Update of the language adjustment and source list update.,2011-12-13 (corrected 2011-12-15),Newsletter II-3 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
TM,Subdivisions added: TM-S Aşgabat.,Update of the administrative structure and update of the list source.,2010-06-30,Newsletter II-2 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-2_2010-06-30.pdf.
TM,One spelling correction. Correction of header information.,,2002-12-10,Newsletter I-4 - https://web.archive.org/web/20081218103210/http://www.iso.org/iso/iso_3166-2_newsletter_i-4_en.pdf.
TN,Correction of the Code Source.,,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:TN.
TN,Correction of the romanization system label.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:TN.
TN,"Correction of the local short name; change of spelling of TN-12, TN-73, TN-82; update List Source.",,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:TN.
TN,"Toponym evolution, alphabetical re-ordering and source list update.",,2011-12-13 (corrected 2011-12-15),Newsletter II-3 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
TN,Adjustment of name form in TN-14. List source updated.,,2004-03-08,Newsletter I-6 - https://web.archive.org/web/20120112041245/http://www.iso.org/iso/iso_3166-2_newsletter_i-6_en.pdf.
TN,Subdivisions added: TN-14 Manouba.,Addition of one new governorate. List source updated. Code source updated.,2003-09-05,Newsletter I-5 - https://web.archive.org/web/20081218103244/http://www.iso.org/iso/iso_3166-2_newsletter_i-5_en.pdf.
TO,Subdivisions added: 5 divisions.,Addition of the administrative subdivisions and of their code elements.,2007-04-17,Newsletter I-8 - https://web.archive.org/web/20120330105926/http://www.iso.org/iso/iso_3166-2_newsletter_i-8_en.pdf.
TR,Subdivisions added: TR-81 Düzce.,Addition of one province. Update of list source information.,2002-05-21,Newsletter I-2 - https://web.archive.org/web/20120131102127/http://www.iso.org/iso/iso_3166-2_newsletter_i-2_en.pdf.
TR,Toponym evolution and source list update.,,2011-12-13 (corrected 2011-12-15),Newsletter II-3 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
TR,Subdivisions added: TR-80 Osmaniye.,Addition of 1 new province. Correction of 2 spelling errors.,2000-06-21,Newsletter I-1 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_i-1_en.pdf.
TR,Change of the short and full name.,,2022-07-11,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:TR.
TR,Correction of the Code Source.,,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:TR.
TT,"Change of category name from municipality to borough for TT-ARI, TT-CHA, TT-PTF; Change of subdivision category name from municipality to city for TT-POS, TT-SFO; Update List Source.",,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:TT.
TT,"Deletion of regions TT-ETO, TT-RCM, TT-WTO; addition of region TT-MRC; addition of one ward TT-TOB; update List Source.",,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:TT.
TV,Change of spelling of TV-NMG; update List Source.,,2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:TV.
TV,"Addition of administrative language Tuvaluan (-, tvl).",,2009-03-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:TV.
TV,Codes: Nui: TV-NIU -> TV-NUI.,Second edition of ISO 3166-2 (this change was not announced in a newsletter) - 'Statoid Newsletter January 2008' - http://www.statoids.com/n0801.html.,2007-12-13,ISO 3166-2:2007 - http://www.iso.org/iso/iso_catalogue/catalogue_tc/catalogue_detail.htm?csnumber=39718.
TV,"Subdivisions added: 1 town council, 7 island councils.",Addition of the administrative subdivisions and of their code elements.,2007-04-17,Newsletter I-8 - https://web.archive.org/web/20120330105926/http://www.iso.org/iso/iso_3166-2_newsletter_i-8_en.pdf.
TW,Correction of the Code Source.,,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:TW.
TW,Correction of the romanization system label.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:TW.
